avg_cadence,avg_heart_rate,avg_power,avg_speed,enhanced_avg_speed,enhanced_max_speed,ftp,id,intensity_factor,max_cadence,max_heart_rate,max_power,max_speed,normalized_power,threshold_power,timestamp,total_ascent,total_calories,total_cycles,total_descent,total_distance,total_elapsed_time,total_fat_calories,total_timer_time,training_stress_score
86.0,,180,7.929,7.929,16.222,252,2163639,0.915,145.0,,554,16.222,189.0,207.0,2017-01-14 10:19:21,493,1183.0,9402.0,492,52505.82,6677.979,0.0,6622.259,153.2
78.0,136,157,7.236,7.236,15.692,267,2163639,0.705,133.0,180,558,15.692,188.0,267.0,2018-02-18 11:06:24,1107,1967.0,,1110,83875.66,14208.0,,11591.0,159.7
84.0,134,173,0.0,0.0,,232,2163639,0.938,95.0,170,330,,194.0,207.0,2016-08-10 19:38:12,,727.0,5910.0,,0.0,4203.445,0.0,4203.445,102.1
,,,7.888,7.888,15.89,266,2163639,,,,,15.89,,,2017-04-07 12:20:45,196,968.0,,192,28904.62,3738.232,,3664.242,
,176,,4.598,4.598,5.225,278,2163639,,,181,,5.225,,,2018-03-25 07:55:32,3,405.0,,3,7015.34,1525.89,,1525.89,
80.0,153,,0.235,0.235,1.44,209,2163639,,86.0,170,,1.44,,,2015-09-20 09:37:14,89,321.0,1996.0,79,352.6,1566.367,0.0,1501.415,
93.0,,184,8.107,8.107,16.441,266,2163639,0.753,126.0,,611,16.441,200.0,266.0,2017-05-07 08:53:07,519,1181.0,9389.0,509,52298.26,6545.205,,6451.208,101.0
85.0,154,215,9.999,9.999,15.883,260,2163639,0.874,121.0,172,907,15.883,223.0,255.0,2018-08-05 09:10:05,221,2160.0,,225,87967.14,8869.0,,8798.0,186.1
82.0,145,171,7.838,7.838,16.76,249,2163639,0.991,124.0,183,592,16.76,205.0,207.0,2016-09-23 11:46:00,187,632.0,4995.0,198,28961.7,3719.39,0.0,3695.039,100.0
80.0,145,,0.0,0.0,,209,2163639,,109.0,163,,,,,2015-12-07 20:31:40,,856.0,7051.0,,0.0,5281.974,0.0,5281.974,
77.0,148,192,7.741,7.741,17.34,232,2163639,1.065,129.0,177,782,17.34,220.0,207.0,2016-07-10 14:46:28,803,1631.0,10848.0,792,66119.25,8927.127,0.0,8541.505,268.1
88.0,131,172,0.0,0.0,,232,2163639,0.903,122.0,161,305,,187.0,207.0,2016-08-03 19:34:50,,618.0,5292.0,,0.0,3601.323,0.0,3601.323,81.0
79.0,150,,7.198,7.198,15.895,209,2163639,,130.0,175,,15.895,,,2016-01-23 11:26:15,876,1927.0,14929.0,881,82170.49,11714.951,0.0,11415.714,
76.0,142,,7.26,7.26,16.664,192,2163639,,130.0,176,,16.664,,,2015-06-07 09:53:06,1046,1711.0,15297.0,1054,90021.8,14402.879,0.0,12399.362,
88.0,156,178,0.0,0.0,,209,2163639,0.94,100.0,183,293,,188.0,200.0,2016-06-16 19:03:41,,533.0,4394.0,,0.0,3001.425,0.0,3001.425,73.0
89.0,154,206,8.147,8.147,15.5,249,2163639,1.311,128.0,175,22276,15.5,271.0,207.0,2016-09-25 09:10:38,465,1329.0,9608.0,471,52982.38,6508.787,0.0,6503.409,308.7
85.0,,166,8.073,8.073,19.766,266,2163639,0.688,130.0,,546,19.766,183.0,266.0,2017-06-18 09:28:22,598,,,609,97124.22,13335.0,,12031.0,157.6
84.0,,135,8.011,8.011,11.402,266,2163639,0.571,114.0,,474,11.402,152.0,266.0,2017-05-11 16:48:22,53,329.0,3102.0,54,19678.59,2522.445,,2456.449,22.0
87.0,,157,7.644,7.644,15.862,261,2163639,0.934,130.0,,702,15.862,187.0,200.0,2017-02-12 11:18:59,860,2157.0,16754.0,852,102979.74,16046.123,,13472.757,312.3
76.0,129,,5.422,5.422,12.47,209,2163639,,226.0,169,,12.47,,,2015-12-30 10:38:35,224,582.0,4481.0,227,23140.73,4342.071,0.0,4267.624,
75.0,120,158,7.593,7.593,14.623,278,2163639,0.619,122.0,155,551,14.623,172.0,278.0,2018-05-06 09:46:15,612,1148.0,,601,94844.73,13479.0,,12491.0,132.8
81.0,154,162,9.576,9.576,11.735,192,2163639,0.867,94.0,179,296,11.735,173.0,200.0,2015-05-17 18:04:28,,876.0,7304.0,,51722.37,5401.488,0.0,5401.488,112.2
79.0,149,184,8.258,8.258,13.43,232,2163639,0.965,120.0,165,496,13.43,200.0,207.0,2016-07-30 08:26:32,54,173.0,1247.0,52,7815.02,946.722,0.0,946.337,23.7
90.0,134,,0.0,0.0,,209,2163639,,98.0,154,,,,,2016-01-14 17:39:02,,494.0,5396.0,,0.0,3600.8,0.0,3600.8,
96.0,,234,10.748,10.748,12.722,263,2163639,0.873,114.0,,627,12.722,232.0,266.0,2017-07-16 09:15:16,3,,,1,40025.43,6548.0,,3724.0,78.1
87.0,147,,0.0,0.0,,209,2163639,,106.0,169,,,,,2015-11-18 20:33:25,,796.0,7296.0,,0.0,5049.975,0.0,5049.975,
,,,4.575,4.575,5.636,266,2163639,,,,,5.636,,,2017-04-02 09:51:53,10,266.0,,8,3803.18,831.236,,831.236,
85.0,145,177,9.93,9.93,11.903,209,2163639,0.912,93.0,158,279,11.903,182.0,200.0,2015-09-08 17:02:22,,709.0,5672.0,,39927.43,4020.985,0.0,4020.985,92.2
87.0,,189,7.954,7.954,15.964,263,2163639,0.789,134.0,,716,15.964,210.0,266.0,2017-07-02 09:42:45,630,,,647,97306.66,14892.0,,12233.0,211.3
91.0,,184,8.568,8.568,16.077,266,2163639,0.788,149.0,,919,16.077,210.0,266.0,2017-04-08 13:13:33,767,2851.0,21492.0,719,133144.78,17212.127,,15539.785,267.5
30.0,,,1.083,1.083,3.516,249,2163639,,101.0,,,3.516,,,2016-09-11 06:30:50,,401.0,941.0,,2027.61,1872.377,0.0,1872.377,
84.0,157,168,9.712,9.712,12.166,192,2163639,0.904,97.0,183,857,12.166,181.0,200.0,2015-04-30 17:38:44,,604.0,5046.0,,34974.93,3601.282,0.0,3601.282,81.2
84.0,150,,7.482,7.482,14.717,209,2163639,,141.0,175,,14.717,,,2016-03-27 08:16:49,480,1121.0,9758.0,514,52922.33,7073.58,0.0,7073.58,
84.0,155,197,8.698,8.698,15.91,209,2163639,1.047,119.0,175,558,15.91,209.0,200.0,2016-06-24 19:15:47,204,653.0,4653.0,203,28974.02,3333.281,0.0,3331.05,100.5
73.0,134,174,7.236,7.236,15.93,252,2163639,0.993,134.0,171,540,15.93,205.0,207.0,2016-12-11 10:50:55,904,1913.0,13243.0,899,79836.35,11664.775,0.0,11032.623,300.9
80.0,146,,0.0,0.0,,209,2163639,,88.0,170,,,,,2015-09-20 08:39:21,,693.0,4803.0,,0.0,3600.549,0.0,3600.549,
69.0,123,,4.275,4.275,12.31,209,2163639,,115.0,164,,12.31,,,2016-02-07 07:44:16,66,205.0,1127.0,71,7189.03,1941.876,0.0,1681.644,
74.0,159,,7.405,7.405,14.637,192,2163639,,116.0,188,,14.637,,,2015-06-18 17:20:59,410,1301.0,7552.0,406,47065.51,6443.5,0.0,6356.231,
72.0,127,,6.264,6.264,13.071,192,2163639,,151.0,164,,13.071,,,2015-05-03 11:02:42,786,1418.0,14160.0,781,74883.99,12535.053,0.0,11954.272,
77.0,143,,6.631,6.631,12.671,186,2163639,,199.0,173,,12.671,,,2015-04-23 15:25:06,45,185.0,1139.0,71,7074.01,1067.147,0.0,1066.751,
60.0,,,4.778,4.778,13.75,209,2163639,,203.0,,,13.75,,,2016-06-18 09:35:42,46,194.0,853.0,67,5776.72,1361.346,0.0,1208.924,
72.0,143,162,7.116,7.116,19.25,249,2163639,0.949,128.0,182,625,19.25,196.0,207.0,2016-08-14 16:50:22,2222,3713.0,27438.0,2233,164129.56,32439.644,0.0,23065.288,576.3
84.0,,178,7.574,7.574,12.52,252,2163639,0.938,135.0,,472,12.52,194.0,207.0,2017-01-08 11:19:37,241,817.0,6369.0,185,35000.0,4763.091,0.0,4621.217,112.1
91.0,,199,8.962,8.962,18.298,263,2163639,0.802,133.0,,599,18.298,213.0,266.0,2017-07-09 09:05:59,518,,,534,52294.36,5997.0,,5835.0,103.7
82.0,147,159,9.353,9.353,12.359,192,2163639,0.857,100.0,175,319,12.359,171.0,200.0,2015-05-22 17:59:18,372,849.0,7423.0,677,50516.7,5403.025,0.0,5401.26,109.5
92.0,172,267,10.206,10.206,12.336,278,2163639,1.002,121.0,176,830,12.336,268.0,267.0,2018-03-25 08:56:26,1,541.0,,4,18992.77,3620.0,,1861.0,51.1
80.0,,180,9.914,9.914,16.702,209,2163639,0.966,110.0,,719,16.702,193.0,200.0,2015-08-20 15:54:53,,917.0,6792.0,,50698.77,5113.7,0.0,5113.7,131.6
,,,8.121,8.121,13.714,263,2163639,,,,,13.714,,266.0,2017-06-22 15:14:14,134,,,139,14715.04,1846.0,,1812.0,
77.0,139,,7.255,7.255,15.756,209,2163639,,115.0,167,,15.756,,,2015-10-18 09:20:20,524,913.0,8462.0,522,48350.47,6733.476,0.0,6664.007,
73.0,143,,7.501,7.501,18.681,209,2163639,,112.0,181,,18.681,,,2015-08-01 10:53:14,1167,2077.0,17137.0,1163,108124.12,16127.627,0.0,14415.034,
81.0,,173,7.274,7.274,15.494,261,2163639,0.738,114.0,,549,15.494,193.0,261.0,2017-02-05 10:18:35,592,1347.0,10361.0,596,56762.75,7992.037,0.0,7803.948,117.7
81.0,158,215,8.077,8.077,17.2,216,2163639,1.137,130.0,177,806,17.2,235.0,207.0,2016-07-03 08:25:33,356,938.0,5932.0,354,35515.53,4397.024,0.0,4397.024,156.7
56.0,152,178,9.822,9.822,16.34,192,2163639,0.958,105.0,171,643,16.34,192.0,200.0,2015-05-05 17:50:30,,640.0,3378.0,,35371.21,3601.16,0.0,3601.16,90.9
71.0,145,,6.894,6.894,13.331,209,2163639,,132.0,172,,13.331,,,2015-11-15 10:23:53,196,435.0,3194.0,155,18836.73,4544.603,0.0,2732.397,
76.0,143,,7.027,7.027,16.89,209,2163639,,137.0,181,,16.89,,,2016-01-10 11:35:24,794,1500.0,12778.0,796,71751.1,12439.377,0.0,10210.339,
79.0,160,197,8.479,8.479,16.5,216,2163639,1.057,116.0,180,759,16.5,219.0,207.0,2016-06-30 16:15:31,194,668.0,4443.0,208,28966.56,3417.477,0.0,3416.13,105.1
65.0,135,171,7.516,7.516,11.79,278,2163639,0.772,119.0,182,547,11.79,215.0,278.0,2018-05-21 15:30:08,63,167.0,,66,7719.31,1144.0,,1027.0,16.5
90.0,,178,9.477,9.477,12.976,266,2163639,0.714,112.0,,354,12.976,190.0,266.0,2017-06-09 06:35:56,3,,,3,3283.22,383.0,,345.0,4.9
86.0,124,,0.0,0.0,,209,2163639,,97.0,145,,,,,2016-05-18 12:30:33,,433.0,5185.0,,0.0,4046.123,0.0,3600.978,
78.0,153,184,7.789,7.789,17.357,278,2163639,0.705,127.0,177,814,17.357,196.0,278.0,2018-05-21 07:14:44,248,747.0,,259,23631.11,3234.0,,3034.0,41.5
77.0,144,,7.375,7.375,16.656,209,2163639,,122.0,171,,16.656,,,2016-04-03 09:03:28,714,1374.0,11153.0,709,65567.26,9877.813,0.0,8890.949,
83.0,141,,0.0,0.0,,209,2163639,,104.0,169,,,,,2016-03-23 08:52:17,,849.0,9084.0,,0.0,6600.805,0.0,6600.805,
80.0,,173,9.006,9.006,16.073,278,2163639,0.709,128.0,,699,16.073,189.0,267.0,2018-05-02 19:25:41,231,,,230,30269.67,3473.0,,3361.0,46.5
81.0,148,152,9.346,9.346,11.042,192,2163639,0.814,89.0,168,249,11.042,163.0,200.0,2015-05-27 17:19:37,,405.0,3662.0,,25242.29,2700.986,0.0,2700.986,49.1
81.0,159,,7.816,7.816,17.569,209,2163639,,119.0,178,,17.569,,,2015-08-16 10:40:30,859,1948.0,14360.0,866,83011.91,10621.275,0.0,10621.275,
